Partners,Span,Inns,NO,RunsDescending,High,Ave,Overs,RR,100,50
"Nasir Hossain, Rubel Hossain",2011-2014,2,1,17,16*,17,4.1,4.08,0,0
"Abdur Razzak, Mushfiqur Rahim",2007-2012,5,2,16,7*,5.33,2.4,6,0,0
"Arafat Sunny, Tamim Iqbal",2016-2016,1,1,16,16*,-,1.1,13.71,0,0
"Mashrafe Mortaza, Raqibul Hasan",2009-2009,1,0,16,16,16,2,8,0,0
"Mushfiqur Rahim, Sohag Gazi",2013-2013,1,0,16,16,16,1.3,10.66,0,0
"Sabbir Rahman, Shuvagata Hom",2016-2016,1,0,16,16,16,2.4,6,0,0
"Shakib Al Hasan, Shuvagata Hom",2016-2016,1,0,16,16,16,2.1,7.38,0,0
"Imrul Kayes, Shakib Al Hasan",2011-2016,2,0,15,11,7.5,3.2,4.5,0,0
"Liton Das, Mashrafe Mortaza",2015-2015,1,0,15,15,15,1.3,10,0,0
"Mahmudullah, Naeem Islam",2010-2010,1,0,15,15,15,5.1,2.9,0,0
"Mohammad Mithun, Tamim Iqbal",2016-2016,2,0,15,11,7.5,4.2,3.46,0,0
"Nazmul Hossain, Rubel Hossain",2009-2009,1,1,15,15*,-,1.2,11.25,0,0
"Shakib Al Hasan, Soumya Sarkar",2015-2015,2,0,15,9,7.5,1.5,8.18,0,0
"Abul Hasan, Mashrafe Mortaza",2012-2012,1,0,14,14,14,1.1,12,0,0
"Liton Das, Shakib Al Hasan",2015-2015,1,0,14,14,14,3.1,4.42,0,0
"Sohag Gazi, Ziaur Rahman",2014-2014,1,0,14,14,14,3.3,4,0,0
"Abdur Razzak, Mahmudullah",2007-2007,1,0,13,13,13,2.1,6,0,0
"Alok Kapali, Mahmudullah",2007-2007,1,0,13,13,13,2.5,4.58,0,0
"Mushfiqur Rahim, Ziaur Rahman",2012-2013,2,0,13,13,6.5,1.5,7.09,0,0
"Abdur Razzak, Syed Rasel",2007-2007,2,0,12,10,6,1.4,7.2,0,0
"Aftab Ahmed, Farhad Reza",2007-2007,1,0,12,12,12,2.4,4.5,0,0
"Arafat Sunny, Rony Talukdar",2015-2015,1,0,12,12,12,1.5,6.54,0,0
"Farhad Reza, Mushfiqur Rahim",2007-2007,2,0,12,12,6,2,6,0,0
"Mashrafe Mortaza, Shahadat Hossain",2006-2006,1,0,12,12,12,1.4,7.2,0,0
"Shakib Al Hasan, Ziaur Rahman",2012-2012,1,0,12,12,12,1.5,6.54,0,0
"Jahurul Islam, Mushfiqur Rahim",2010-2010,1,0,11,11,11,1.4,6.6,0,0
"Mahmudullah, Mohammad Ashraful",2010-2012,3,0,11,6,3.66,4.1,2.64,0,0
"Mahmudullah, Nazmul Hossain",2009-2009,1,0,11,11,11,2.5,3.88,0,0
"Mashrafe Mortaza, Shuvagata Hom",2016-2016,1,0,11,11,11,2.2,4.71,0,0
"Mashrafe Mortaza, Tamim Iqbal",2016-2016,1,0,10,10,10,1.1,8.57,0,0
"Farhad Reza, Shakib Al Hasan",2006-2006,1,0,9,9,9,0.4,13.5,0,0
"Mohammad Ashraful, Shamsur Rahman",2013-2013,1,0,9,9,9,1,9,0,0
"Mohammad Mithun, Mushfiqur Rahim",2016-2016,1,0,9,9,9,2.1,4.15,0,0
