Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Abdur Razzak,0,5,2,0,0,0,1,v Zimbabwe,Khulna,28-Nov-06
Abdur Razzak,DNB,-,-,-,-,-,2,v Kenya,Nairobi (Gym),1-Sep-07
Abdur Razzak,DNB,-,-,-,-,-,2,v Pakistan,Nairobi (Gym),2-Sep-07
Abdur Razzak,DNB,-,-,-,-,-,2,v West Indies,Johannesburg,13-Sep-07
Abdur Razzak,2*,10,6,0,0,33.33,1,v South Africa,Cape Town,15-Sep-07
Abdur Razzak,0*,2,0,0,0,-,1,v Australia,Cape Town,16-Sep-07
Abdur Razzak,5,10,12,0,0,41.66,2,v Sri Lanka,Johannesburg,18-Sep-07
Abdur Razzak,0,1,1,0,0,0,1,v Pakistan,Cape Town,20-Sep-07
Abdur Razzak,1*,5,3,0,0,33.33,2,v Pakistan,Karachi,20-Apr-08
Abdur Razzak,0,2,2,0,0,0,2,v South Africa,Johannesburg,5-Nov-08
Abdur Razzak,0*,4,0,0,0,-,1,v Ireland,Nottingham,8-Jun-09
Abdur Razzak,DNB,-,-,-,-,-,2,v Pakistan,Gros Islet,1-May-10
Abdur Razzak,3*,6,8,0,0,37.5,2,v Australia,Bridgetown,5-May-10
Abdur Razzak,1*,2,1,0,0,100,2,v West Indies,Dhaka,11-Oct-11
Abdur Razzak,9,10,9,1,0,100,2,v Pakistan,Dhaka,29-Nov-11
Abdur Razzak,DNB,-,-,-,-,-,1,v Ireland,Belfast,18-Jul-12
Abdur Razzak,DNB,-,-,-,-,-,1,v Ireland,Belfast,20-Jul-12
Abdur Razzak,3*,9,4,0,0,75,2,v Ireland,Belfast,21-Jul-12
Abdur Razzak,1,2,2,0,0,50,2,v Scotland,The Hague,24-Jul-12
Abdur Razzak,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12
Abdur Razzak,2,3,2,0,0,100,1,v Netherlands,The Hague,26-Jul-12
Abdur Razzak,0*,5,2,0,0,0,2,v New Zealand,Pallekele,21-Sep-12
Abdur Razzak,DNB,-,-,-,-,-,1,v Pakistan,Pallekele,25-Sep-12
Abdur Razzak,DNB,-,-,-,-,-,2,v West Indies,Dhaka,10-Dec-12
Abdur Razzak,6*,12,8,0,0,75,2,v Sri Lanka,Pallekele,31-Mar-13
Abdur Razzak,2,4,4,0,0,50,2,v Zimbabwe,Bulawayo,11-May-13
Abdur Razzak,6*,9,6,0,0,100,1,v Zimbabwe,Bulawayo,12-May-13
Abdur Razzak,0,4,1,0,0,0,2,v New Zealand,Dhaka,6-Nov-13
Abdur Razzak,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Abdur Razzak,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Abdur Razzak,0,1,1,0,0,0,1,v Hong Kong,Chittagong,20-Mar-14
Abdur Razzak,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,30-Mar-14
Abdur Razzak,DNB,-,-,-,-,-,1,v Australia,Dhaka,1-Apr-14
Abdur Razzak,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14
Abul Hasan,DNB,-,-,-,-,-,1,v Ireland,Belfast,18-Jul-12
Abul Hasan,DNB,-,-,-,-,-,1,v Ireland,Belfast,20-Jul-12
Abul Hasan,9,15,8,1,0,112.5,2,v Scotland,The Hague,24-Jul-12
Abul Hasan,DNB,-,-,-,-,-,1,v Pakistan,Pallekele,25-Sep-12
Abu Hider,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,20-Jan-16
Abu Hider,14,20,10,1,1,140,2,v Zimbabwe,Khulna,22-Jan-16
Abu Hider,DNB,-,-,-,-,-,1,v India,Dhaka,6-Mar-16
Abu Hider,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16
Abu Hider,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16
Aftab Ahmed,28,28,19,4,1,147.36,1,v Zimbabwe,Khulna,28-Nov-06
Aftab Ahmed,17,-,6,2,1,283.33,2,v Kenya,Nairobi (Gym),1-Sep-07
Aftab Ahmed,5,-,6,1,0,83.33,2,v Pakistan,Nairobi (Gym),2-Sep-07
Aftab Ahmed,62*,74,49,8,1,126.53,2,v West Indies,Johannesburg,13-Sep-07
Aftab Ahmed,36,15,14,5,2,257.14,1,v South Africa,Cape Town,15-Sep-07
Aftab Ahmed,31,51,34,2,0,91.17,1,v Australia,Cape Town,16-Sep-07
Aftab Ahmed,18,13,11,3,0,163.63,2,v Sri Lanka,Johannesburg,18-Sep-07
Aftab Ahmed,15,26,17,0,0,88.23,1,v Pakistan,Cape Town,20-Sep-07
Aftab Ahmed,3,7,5,0,0,60,2,v Pakistan,Karachi,20-Apr-08
Aftab Ahmed,12,14,14,1,1,85.71,1,v New Zealand,Hamilton,3-Feb-10
Aftab Ahmed,1,12,3,0,0,33.33,2,v Australia,Bridgetown,5-May-10
Alok Kapali,17*,-,19,1,0,89.47,2,v Kenya,Nairobi (Gym),1-Sep-07
Alok Kapali,19,-,11,2,1,172.72,2,v Pakistan,Nairobi (Gym),2-Sep-07
Alok Kapali,5*,6,7,0,0,71.42,2,v West Indies,Johannesburg,13-Sep-07
Alok Kapali,14,45,35,0,0,40,1,v South Africa,Cape Town,15-Sep-07
Alok Kapali,0,1,1,0,0,0,1,v Australia,Cape Town,16-Sep-07
Alok Kapali,2,6,9,0,0,22.22,2,v West Indies,Dhaka,11-Oct-11
Alok Kapali,0,4,3,0,0,0,2,v Pakistan,Dhaka,29-Nov-11
Al-Amin Hossain,5*,3,3,1,0,166.66,2,v New Zealand,Dhaka,6-Nov-13
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Al-Amin Hossain,1,8,5,0,0,20,1,v Hong Kong,Chittagong,20-Mar-14
Al-Amin Hossain,0*,3,0,0,0,-,2,v West Indies,Dhaka,25-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,1,v India,Dhaka,28-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,30-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Australia,Dhaka,1-Apr-14
Al-Amin Hossain,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,13-Nov-15
Al-Amin Hossain,1*,1,2,0,0,50,1,v Zimbabwe,Dhaka,15-Nov-15
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,15-Jan-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Zimbabwe,Khulna,17-Jan-16
Al-Amin Hossain,DNB,-,-,-,-,-,2,v India,Dhaka,24-Feb-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v U.A.E.,Dhaka,26-Feb-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Sri Lanka,Dhaka,28-Feb-16
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,2-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v India,Dhaka,6-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Netherlands,Dharamsala,9-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Pakistan,Kolkata,16-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Australia,Bangalore,21-Mar-16
Al-Amin Hossain,DNB,-,-,-,-,-,2,v India,Bangalore,23-Mar-16
Al-Amin Hossain,0,3,2,0,0,0,2,v New Zealand,Kolkata,26-Mar-16
Anamul Haque,22,21,12,3,1,183.33,2,v West Indies,Dhaka,10-Dec-12
Anamul Haque,58,69,45,7,0,128.88,2,v Sri Lanka,Chittagong,12-Feb-14
Anamul Haque,24,21,17,2,2,141.17,1,v Sri Lanka,Chittagong,14-Feb-14
Anamul Haque,44*,-,33,4,3,133.33,2,v Afghanistan,Dhaka,16-Mar-14
Anamul Haque,42,48,33,5,2,127.27,2,v Nepal,Chittagong,18-Mar-14
Anamul Haque,26,30,17,3,1,152.94,1,v Hong Kong,Chittagong,20-Mar-14
Anamul Haque,10,14,7,2,0,142.85,2,v West Indies,Dhaka,25-Mar-14
Anamul Haque,44,49,43,5,2,102.32,1,v India,Dhaka,28-Mar-14
Anamul Haque,18,23,16,3,0,112.5,2,v Pakistan,Dhaka,30-Mar-14
Anamul Haque,0,8,6,0,0,0,1,v Australia,Dhaka,1-Apr-14
Anamul Haque,19*,20,19,1,1,100,1,v West Indies,Basseterre,27-Aug-14
Anamul Haque,1,5,2,0,0,50,2,v Zimbabwe,Dhaka,13-Nov-15
Anamul Haque,47,70,51,3,0,92.15,1,v Zimbabwe,Dhaka,15-Nov-15
Arafat Sunny,DNB,-,-,-,-,-,2,v Sri Lanka,Chittagong,12-Feb-14
Arafat Sunny,5,11,6,1,0,83.33,1,v Sri Lanka,Chittagong,14-Feb-14
Arafat Sunny,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,24-Apr-15
Arafat Sunny,1*,8,2,0,0,50,2,v South Africa,Dhaka,5-Jul-15
Arafat Sunny,5*,11,5,0,0,100,2,v South Africa,Dhaka,7-Jul-15
Arafat Sunny,5,7,8,0,0,62.5,1,v Zimbabwe,Dhaka,15-Nov-15
Arafat Sunny,10,8,5,2,0,200,2,v Zimbabwe,Khulna,22-Jan-16
Arafat Sunny,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,2-Mar-16
Arafat Sunny,8*,5,4,0,1,200,1,v Netherlands,Dharamsala,9-Mar-16
Arafat Sunny,DNB,-,-,-,-,-,2,v Pakistan,Kolkata,16-Mar-16
Dhiman Ghosh,1,1,2,0,0,50,2,v Pakistan,Karachi,20-Apr-08
Elias Sunny,DNB,-,-,-,-,-,1,v Ireland,Belfast,18-Jul-12
Elias Sunny,DNB,-,-,-,-,-,1,v Ireland,Belfast,20-Jul-12
Elias Sunny,2*,4,2,0,0,100,2,v Ireland,Belfast,21-Jul-12
Elias Sunny,1*,6,3,0,0,33.33,2,v Scotland,The Hague,24-Jul-12
Elias Sunny,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12
Elias Sunny,1,3,1,0,0,100,1,v Netherlands,The Hague,26-Jul-12
Elias Sunny,5,5,3,1,0,166.66,2,v New Zealand,Pallekele,21-Sep-12
Farhad Reza,7,4,5,1,0,140,1,v Zimbabwe,Khulna,28-Nov-06
Farhad Reza,DNB,-,-,-,-,-,2,v Kenya,Nairobi (Gym),1-Sep-07
Farhad Reza,18,-,14,2,0,128.57,2,v Pakistan,Nairobi (Gym),2-Sep-07
Farhad Reza,DNB,-,-,-,-,-,2,v West Indies,Johannesburg,13-Sep-07
Farhad Reza,19,24,21,0,2,90.47,1,v South Africa,Cape Town,15-Sep-07
Farhad Reza,4,13,13,0,0,30.76,1,v Australia,Cape Town,16-Sep-07
Farhad Reza,2,8,4,0,0,50,2,v Pakistan,Karachi,20-Apr-08
Farhad Reza,6,6,10,0,0,60,2,v Pakistan,Dhaka,29-Nov-11
Farhad Reza,7,12,5,1,0,140,2,v Sri Lanka,Chittagong,12-Feb-14
Farhad Reza,9,15,14,0,0,64.28,1,v Sri Lanka,Chittagong,14-Feb-14
Farhad Reza,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Farhad Reza,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Farhad Reza,0,4,2,0,0,0,1,v Hong Kong,Chittagong,20-Mar-14
Imrul Kayes,0,-,2,0,0,0,2,v Pakistan,Gros Islet,1-May-10
Imrul Kayes,0,2,6,0,0,0,2,v Australia,Bridgetown,5-May-10
Imrul Kayes,22,33,21,3,1,104.76,2,v West Indies,Dhaka,11-Oct-11
Imrul Kayes,2,24,8,0,0,25,2,v Pakistan,Dhaka,29-Nov-11
Imrul Kayes,10,27,11,2,0,90.9,1,v Zimbabwe,Dhaka,15-Nov-15
Imrul Kayes,1,3,3,0,0,33.33,2,v Zimbabwe,Khulna,20-Jan-16
Imrul Kayes,18,23,14,2,1,128.57,2,v Zimbabwe,Khulna,22-Jan-16
Imrul Kayes,14,29,24,1,0,58.33,2,v India,Dhaka,24-Feb-16
Jahurul Islam,18,17,12,1,1,150,2,v Australia,Bridgetown,5-May-10
Jahurul Islam,2,2,2,0,0,100,1,v Netherlands,The Hague,26-Jul-12
Jahurul Islam,11,10,9,2,0,122.22,2,v Sri Lanka,Pallekele,31-Mar-13
Jubair Hossain,DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,13-Nov-15
Junaid Siddique,71,57,49,6,3,144.89,1,v Pakistan,Cape Town,20-Sep-07
Junaid Siddique,4,15,2,1,0,200,2,v South Africa,Johannesburg,5-Nov-08
Junaid Siddique,41,37,22,2,3,186.36,2,v India,Nottingham,6-Jun-09
Junaid Siddique,13,5,5,3,0,260,1,v Ireland,Nottingham,8-Jun-09
Junaid Siddique,5,7,6,1,0,83.33,1,v West Indies,Basseterre,2-Aug-09
Junaid Siddique,25,24,20,3,1,125,2,v Netherlands,The Hague,25-Jul-12
Junaid Siddique,0,2,4,0,0,0,1,v Netherlands,The Hague,26-Jul-12
Liton Das,22,33,26,0,1,84.61,2,v South Africa,Dhaka,5-Jul-15
Liton Das,10,11,7,1,0,142.85,2,v South Africa,Dhaka,7-Jul-15
Liton Das,17,22,12,2,0,141.66,2,v Zimbabwe,Dhaka,13-Nov-15
Mahmudullah,2,-,8,0,0,25,2,v Kenya,Nairobi (Gym),1-Sep-07
Mahmudullah,9,-,15,1,0,60,2,v Pakistan,Nairobi (Gym),2-Sep-07
Mahmudullah,16,29,16,0,1,100,2,v Sri Lanka,Johannesburg,18-Sep-07
Mahmudullah,1,5,1,0,0,100,1,v Pakistan,Cape Town,20-Sep-07
Mahmudullah,2,8,5,0,0,40,2,v Pakistan,Karachi,20-Apr-08
Mahmudullah,8,15,13,0,0,61.53,2,v India,Nottingham,6-Jun-09
Mahmudullah,7,14,10,0,0,70,1,v Ireland,Nottingham,8-Jun-09
Mahmudullah,21,39,27,2,0,77.77,1,v West Indies,Basseterre,2-Aug-09
Mahmudullah,11,19,23,1,0,47.82,1,v New Zealand,Hamilton,3-Feb-10
Mahmudullah,0,-,3,0,0,0,2,v Pakistan,Gros Islet,1-May-10
Mahmudullah,2,2,3,0,0,66.66,2,v Australia,Bridgetown,5-May-10
Mahmudullah,2,6,5,0,0,40,2,v Pakistan,Dhaka,29-Nov-11
Mahmudullah,23,17,15,1,2,153.33,1,v Ireland,Belfast,18-Jul-12
Mahmudullah,3,5,4,0,0,75,1,v Ireland,Belfast,20-Jul-12
Mahmudullah,9,9,8,0,1,112.5,2,v Ireland,Belfast,21-Jul-12
Mahmudullah,9,11,8,1,0,112.5,2,v Scotland,The Hague,24-Jul-12
Mahmudullah,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12
Mahmudullah,41,29,31,6,0,132.25,1,v Netherlands,The Hague,26-Jul-12
Mahmudullah,15,35,19,0,1,78.94,2,v New Zealand,Pallekele,21-Sep-12
Mahmudullah,0,3,2,0,0,0,1,v Pakistan,Pallekele,25-Sep-12
Mahmudullah,64*,68,48,3,4,133.33,2,v West Indies,Dhaka,10-Dec-12
Mahmudullah,31,27,18,3,1,172.22,2,v Sri Lanka,Pallekele,31-Mar-13
Mahmudullah,2,5,2,0,0,100,2,v Zimbabwe,Bulawayo,11-May-13
Mahmudullah,1,6,4,0,0,25,1,v Zimbabwe,Bulawayo,12-May-13
Mahmudullah,34,30,25,0,3,136,2,v New Zealand,Dhaka,6-Nov-13
Mahmudullah,9,11,10,1,0,90,1,v Sri Lanka,Chittagong,14-Feb-14
Mahmudullah,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Mahmudullah,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Mahmudullah,2,5,3,0,0,66.66,1,v Hong Kong,Chittagong,20-Mar-14
Mahmudullah,1,4,3,0,0,33.33,2,v West Indies,Dhaka,25-Mar-14
Mahmudullah,33*,27,23,5,1,143.47,1,v India,Dhaka,28-Mar-14
Mahmudullah,17*,22,12,0,1,141.66,2,v Pakistan,Dhaka,30-Mar-14
Mahmudullah,6*,20,7,0,0,85.71,1,v Australia,Dhaka,1-Apr-14
Mahmudullah,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14
Mahmudullah,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,24-Apr-15
Mahmudullah,22*,38,21,2,0,104.76,2,v Zimbabwe,Dhaka,13-Nov-15
Mahmudullah,8,2,4,2,0,200,1,v Zimbabwe,Dhaka,15-Nov-15
Mahmudullah,7,-,3,0,1,233.33,2,v Zimbabwe,Khulna,15-Jan-16
Mahmudullah,1,3,3,0,0,33.33,1,v Zimbabwe,Khulna,17-Jan-16
Mahmudullah,6,6,4,0,0,150,2,v Zimbabwe,Khulna,20-Jan-16
Mahmudullah,54,61,41,5,2,131.7,2,v Zimbabwe,Khulna,22-Jan-16
Mahmudullah,7,9,6,1,0,116.66,2,v India,Dhaka,24-Feb-16
Mahmudullah,36*,36,27,1,2,133.33,1,v U.A.E.,Dhaka,26-Feb-16
Mahmudullah,23*,23,12,2,1,191.66,1,v Sri Lanka,Dhaka,28-Feb-16
Mahmudullah,22*,33,15,2,1,146.66,2,v Pakistan,Dhaka,2-Mar-16
Mahmudullah,33*,18,13,2,2,253.84,1,v India,Dhaka,6-Mar-16
Mahmudullah,10,16,9,1,0,111.11,1,v Netherlands,Dharamsala,9-Mar-16
Mahmudullah,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16
Mahmudullah,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16
Mahmudullah,4,8,5,0,0,80,2,v Pakistan,Kolkata,16-Mar-16
Mahmudullah,49*,38,29,7,1,168.96,1,v Australia,Bangalore,21-Mar-16
Mahmudullah,18,48,22,1,0,81.81,2,v India,Bangalore,23-Mar-16
Mahmudullah,5,14,8,0,0,62.5,2,v New Zealand,Kolkata,26-Mar-16
Mashrafe Mortaza,36,31,26,2,2,138.46,1,v Zimbabwe,Khulna,28-Nov-06
Mashrafe Mortaza,7*,-,6,0,1,116.66,2,v Kenya,Nairobi (Gym),1-Sep-07
Mashrafe Mortaza,10*,-,14,0,0,71.42,2,v Pakistan,Nairobi (Gym),2-Sep-07
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v West Indies,Johannesburg,13-Sep-07
Mashrafe Mortaza,12,13,8,0,2,150,1,v South Africa,Cape Town,15-Sep-07
Mashrafe Mortaza,0,1,1,0,0,0,1,v Australia,Cape Town,16-Sep-07
Mashrafe Mortaza,12,11,12,2,0,100,2,v Sri Lanka,Johannesburg,18-Sep-07
Mashrafe Mortaza,11,14,14,0,0,78.57,1,v Pakistan,Cape Town,20-Sep-07
Mashrafe Mortaza,2,6,4,0,0,50,2,v Pakistan,Karachi,20-Apr-08
Mashrafe Mortaza,11,6,8,0,1,137.5,2,v India,Nottingham,6-Jun-09
Mashrafe Mortaza,33*,19,16,1,2,206.25,1,v Ireland,Nottingham,8-Jun-09
Mashrafe Mortaza,1,-,3,0,0,33.33,2,v Pakistan,Gros Islet,1-May-10
Mashrafe Mortaza,6,10,5,1,0,120,2,v Australia,Bridgetown,5-May-10
Mashrafe Mortaza,DNB,-,-,-,-,-,1,v Ireland,Belfast,18-Jul-12
Mashrafe Mortaza,5*,9,4,0,0,125,1,v Ireland,Belfast,20-Jul-12
Mashrafe Mortaza,30,16,13,0,4,230.76,2,v Ireland,Belfast,21-Jul-12
Mashrafe Mortaza,15,15,9,0,2,166.66,2,v Scotland,The Hague,24-Jul-12
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12
Mashrafe Mortaza,5,6,3,1,0,166.66,2,v New Zealand,Pallekele,21-Sep-12
Mashrafe Mortaza,DNB,-,-,-,-,-,1,v Pakistan,Pallekele,25-Sep-12
Mashrafe Mortaza,7*,12,7,1,0,100,2,v New Zealand,Dhaka,6-Nov-13
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Sri Lanka,Chittagong,12-Feb-14
Mashrafe Mortaza,17,10,10,4,0,170,1,v Sri Lanka,Chittagong,14-Feb-14
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Mashrafe Mortaza,19,18,17,3,0,111.76,2,v West Indies,Dhaka,25-Mar-14
Mashrafe Mortaza,6*,1,2,0,1,300,1,v India,Dhaka,28-Mar-14
Mashrafe Mortaza,17*,10,9,4,0,188.88,2,v Pakistan,Dhaka,30-Mar-14
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,24-Apr-15
Mashrafe Mortaza,5,6,4,1,0,125,2,v South Africa,Dhaka,5-Jul-15
Mashrafe Mortaza,17,12,8,0,2,212.5,2,v South Africa,Dhaka,7-Jul-15
Mashrafe Mortaza,15*,12,12,2,1,125,2,v Zimbabwe,Dhaka,13-Nov-15
Mashrafe Mortaza,0,2,1,0,0,0,1,v Zimbabwe,Dhaka,15-Nov-15
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,15-Jan-16
Mashrafe Mortaza,DNB,-,-,-,-,-,1,v Zimbabwe,Khulna,17-Jan-16
Mashrafe Mortaza,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,20-Jan-16
Mashrafe Mortaza,22,18,12,1,2,183.33,2,v Zimbabwe,Khulna,22-Jan-16
Mashrafe Mortaza,0,1,1,0,0,0,2,v India,Dhaka,24-Feb-16
Mashrafe Mortaza,0,3,3,0,0,0,1,v U.A.E.,Dhaka,26-Feb-16
Mashrafe Mortaza,2,5,2,0,0,100,1,v Sri Lanka,Dhaka,28-Feb-16
Mashrafe Mortaza,12*,14,7,2,0,171.42,2,v Pakistan,Dhaka,2-Mar-16
Mashrafe Mortaza,0,1,1,0,0,0,1,v India,Dhaka,6-Mar-16
Mashrafe Mortaza,7,5,5,0,1,140,1,v Netherlands,Dharamsala,9-Mar-16
Mashrafe Mortaza,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16
Mashrafe Mortaza,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16
Mashrafe Mortaza,15*,11,9,2,1,166.66,2,v Pakistan,Kolkata,16-Mar-16
Mashrafe Mortaza,DNB,-,-,-,-,-,1,v Australia,Bangalore,21-Mar-16
Mashrafe Mortaza,6,10,5,0,1,120,2,v India,Bangalore,23-Mar-16
Mashrafe Mortaza,3,6,5,0,0,60,2,v New Zealand,Kolkata,26-Mar-16
Mehrab Hossain jnr,6*,15,8,0,0,75,2,v South Africa,Johannesburg,5-Nov-08
Mehrab Hossain jnr,10,16,17,1,0,58.82,1,v West Indies,Basseterre,2-Aug-09
Mohammad Ashraful,36,-,20,4,1,180,2,v Kenya,Nairobi (Gym),1-Sep-07
Mohammad Ashraful,7,-,4,1,0,175,2,v Pakistan,Nairobi (Gym),2-Sep-07
Mohammad Ashraful,61,43,27,7,3,225.92,2,v West Indies,Johannesburg,13-Sep-07
Mohammad Ashraful,10,3,3,1,1,333.33,1,v South Africa,Cape Town,15-Sep-07
Mohammad Ashraful,7,11,6,1,0,116.66,1,v Australia,Cape Town,16-Sep-07
Mohammad Ashraful,4,14,8,0,0,50,2,v Sri Lanka,Johannesburg,18-Sep-07
Mohammad Ashraful,5,2,4,0,0,125,1,v Pakistan,Cape Town,20-Sep-07
Mohammad Ashraful,13,11,11,1,0,118.18,2,v Pakistan,Karachi,20-Apr-08
Mohammad Ashraful,21,12,10,5,0,210,2,v South Africa,Johannesburg,5-Nov-08
Mohammad Ashraful,11,14,9,1,0,122.22,2,v India,Nottingham,6-Jun-09
Mohammad Ashraful,14,14,10,1,1,140,1,v Ireland,Nottingham,8-Jun-09
Mohammad Ashraful,0,1,1,0,0,0,1,v West Indies,Basseterre,2-Aug-09
Mohammad Ashraful,11,29,14,1,0,78.57,1,v New Zealand,Hamilton,3-Feb-10
Mohammad Ashraful,65,-,49,4,3,132.65,2,v Pakistan,Gros Islet,1-May-10
Mohammad Ashraful,0,5,3,0,0,0,2,v Australia,Bridgetown,5-May-10
Mohammad Ashraful,24,25,25,2,0,96,2,v West Indies,Dhaka,11-Oct-11
Mohammad Ashraful,15,20,13,2,0,115.38,1,v Ireland,Belfast,18-Jul-12
Mohammad Ashraful,38,67,46,2,0,82.6,1,v Ireland,Belfast,20-Jul-12
Mohammad Ashraful,24,34,25,4,0,96,2,v Ireland,Belfast,21-Jul-12
Mohammad Ashraful,6,10,7,1,0,85.71,2,v Scotland,The Hague,24-Jul-12
Mohammad Ashraful,21,32,21,3,0,100,2,v New Zealand,Pallekele,21-Sep-12
Mohammad Ashraful,14,16,13,3,0,107.69,1,v Pakistan,Pallekele,25-Sep-12
Mohammad Ashraful,43,40,27,4,2,159.25,2,v Sri Lanka,Pallekele,31-Mar-13
Mohammad Mithun,0,2,1,0,0,0,2,v Sri Lanka,Chittagong,12-Feb-14
Mohammad Mithun,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14
Mohammad Mithun,1,10,3,0,0,33.33,2,v India,Dhaka,24-Feb-16
Mohammad Mithun,47,53,41,4,2,114.63,1,v U.A.E.,Dhaka,26-Feb-16
Mohammad Mithun,0,1,2,0,0,0,1,v Sri Lanka,Dhaka,28-Feb-16
Mohammad Mithun,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,2-Mar-16
Mohammad Mithun,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16
Mohammad Mithun,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16
Mohammad Mithun,2,5,4,0,0,50,2,v Pakistan,Kolkata,16-Mar-16
Mohammad Mithun,23,44,22,1,1,104.54,1,v Australia,Bangalore,21-Mar-16
Mohammad Mithun,1,12,3,0,0,33.33,2,v India,Bangalore,23-Mar-16
Mohammad Mithun,11,21,17,1,0,64.7,2,v New Zealand,Kolkata,26-Mar-16
Mohammad Rafique,13,11,5,3,0,260,1,v Zimbabwe,Khulna,28-Nov-06
Mohammad Shahid,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,20-Jan-16
Mominul Haque,DNB,-,-,-,-,-,2,v West Indies,Dhaka,10-Dec-12
Mominul Haque,26*,27,16,2,1,162.5,2,v Sri Lanka,Pallekele,31-Mar-13
Mominul Haque,9,16,9,1,0,100,1,v Zimbabwe,Bulawayo,12-May-13
Mominul Haque,9,6,6,0,1,150,2,v New Zealand,Dhaka,6-Nov-13
Mominul Haque,16,37,19,2,0,84.21,2,v West Indies,Dhaka,25-Mar-14
Mominul Haque,DNB,-,-,-,-,-,1,v Australia,Dhaka,1-Apr-14
Mosaddek Hossain,15,21,19,1,0,78.94,2,v Zimbabwe,Khulna,20-Jan-16
Muktar Ali,19*,23,15,1,1,126.66,2,v Zimbabwe,Khulna,20-Jan-16
Mushfiqur Rahim,2,3,5,0,0,40,1,v Zimbabwe,Khulna,28-Nov-06
Mushfiqur Rahim,DNB,-,-,-,-,-,2,v Kenya,Nairobi (Gym),1-Sep-07
Mushfiqur Rahim,1*,-,2,0,0,50,2,v Pakistan,Nairobi (Gym),2-Sep-07
